userid,authorid,value
-daniela123,ashleyrramoss,1
-daniela123,sierra-hart,4
-daniela123,lilahmacmillan,3
-daniela123,grace-tassone,12
-daniela123,kateraczy,1
-daniela123,rachelamarrall,1
-daniela123,simone-duarte,7
-daniela123,serenaettrick,20
-daniela123,ritaarenaee,1
-daniela123,teenfact,9
-daniela123,hannahozayen,4
-daniela123,republishlmaoo,3
-daniela123,chardavidsonnn,15
-daniela123,bellaberts-,5
-daniela123,meredithhmcintosh,3
-daniela123,lea-bubanovich21,1
-daniela123,katesaranchk,3
-daniela123,noorqasrawi,4
-daniela123,emmagrangerrr,3
-daniela123,richmindset,6
-daniela123,rideteagan10,11
-daniela123,bellabest-,5
-daniela123,olababatunde,12
-daniela123,republishlmao,1
-daniela123,miaradicee,1
-daniela123,jordannnn88---,4
-daniela123,apap-anna,16
-daniela123,agirlfeed,2
-daniela123,julia-medeiross,3
-daniela123,melinacohens,1
-daniela123,avagrace-i,7
-daniela123,samsnelgrove,9
-daniela123,yooitsjj,2
-daniela123,rayenisilag,4
-daniela123,petraband,5
-daniela123,danielagiljanovic,1
-daniela123,camillecmeta,4
-daniela123,emamarasovicc,7
-daniela123,amycmccarter,7
-daniela123,emgentz15,1
-daniela123,miahancock11,2
-daniela123,lifeisgood-101,1
-daniela123,herloveislikeadrug,15
-daniela123,iconicslut,2
-daniela123,boujeevibes,1
-daniela123,kenz-brownn,1
-daniela123,nevaehwillis17,1
-daniela123,janelle-luc,5
-daniela123,shaynemcc,6
-daniela123,ellastrkaljj,9
-daniela123,reeseruis,1
-daniela123,chloetaylor08,2
-daniela123,daniellapeto,4
-daniela123,jillian-bue,6
-daniela123,aleyallonardo,1
-daniela123,myah-drummond,11
-daniela123,sagenergy,1
-daniela123,sophiajafree,4
-daniela123,aysha-aliyah,4
-daniela123,gabby-de1,13
-daniela123,carolina-franco8,2
-daniela123,leilabenedetti,1
-daniela123,sophie-byrne-,3
-daniela123,annikajjackson,3
-daniela123,werenotreallystrangerz,3
-daniela123,fallmoreinluvwithlife,1
-daniela123,aleighnars,1
-daniela123,stellaande,1
-daniela123,margyarova,1
-daniela123,aanyabasti,1
-daniela123,maiyadesousa,2
-daniela123,ava-mazzacca,10
-daniela123,ayvarosee,7
-daniela123,emma-delvec,3
-daniela123,ocean-frank,1
-daniela123,leilasafieddinee,4
-daniela123,joeycosta,23
-daniela123,nataliem-7,4
-daniela123,oliviaberamm,3
-daniela123,giamazzarelli,6
-daniela123,colbiebaker,11
-daniela123,layan-yousiff,1
-daniela123,iloveu2222,3
-daniela123,forloversonlyy,1
-daniela123,graceburgess1,21
-daniela123,polinavoroninn,1
-daniela123,averygrant08,4
-daniela123,maddysantos,14
-daniela123,biabarbosa0503,1
-daniela123,meadaily,16
-daniela123,maggischiesl,1
-daniela123,republishlmao-,2
-daniela123,libbyykateee,1
-daniela123,katie2real,1
-daniela123,mernaaelmasry,17
-daniela123,sofiassanz,2
-daniela123,olivia-bogle,3
-daniela123,norhanabdalla-,1
-daniela123,josielmiller,1
-daniela123,sophiajaber,3
-daniela123,goatwrld,2
-daniela123,malakhatahet,1
-daniela123,relatablevscothingss,1
-daniela123,spouzie,1
-daniela123,giga-chad-official,1
-daniela123,baileyyyhowell,1
-daniela123,miamrozowskaa,1
-daniela123,johnson-sophia,1
-daniela123,antisocials,1
-daniela123,hashimmalak,1
-daniela123,rachelpowrie,1
-daniela123,graceomalley07,1
-daniela123,adviice,2
-daniela123,sophieng67,1
-daniela123,unapologeticallyyours,1
-daniela123,nicolevillela-,2
-daniela123,celebrityworld,2
-daniela123,famous-people-,1
-daniela123,lucyxallen,1
-daniela123,prada-u-baby,1
-daniela123,georgiatassouliss,1
-daniela123,bukurie,2
-daniela123,laur-xh,1
-daniela123,ryannkaplannn,4
-daniela123,sturnioloss,1
-daniela123,urfavoriterapper,1
-daniela123,jennajack,1
-daniela123,favoritesfeed,1
